kind,expected,heard,ref_index,clip_id,provider,accent,tier,domain
DRUG-DEL,pimozide,,5,1ab41137caf537cf2d196c3914d95b48,aai,isizulu,B,clinical
NEG-FLIP,never,,1,1e1f4d7a25294e5853a6c798329b69b9,aai,swahili,A,general
DRUG-DEL,omnipaque,,20,21dcea0a9c98e415d126fa38c3e09e72,aai,swahili,A,clinical
DOSE-MISS,3 hours,,3,233b65fe511818e326eff9bffdc2bf6f,aai,hausa,A,clinical
DOSE-UNIT,40 meq,40 mcg,16,27984ad90703cedf54d2c84bfc6e1a3c,aai,hausa,A,clinical
DOSE-VAL,8 units,80 units,6,320840b5470cf91679cb154ecddc4d86,aai,hausa,A,clinical
DRUG-DEL,morphine,,12,5b5cea61187384389906b36683ffa428,aai,zulu,B,clinical
DRUG-DEL,estradiol,,17,8132758125fa0e3156821052a383f9ef,aai,hausa,A,clinical
DRUG-DEL,norethindrone,,18,8132758125fa0e3156821052a383f9ef,aai,hausa,A,clinical
DOSE-MISS,0.035 mg,,19,8132758125fa0e3156821052a383f9ef,aai,hausa,A,clinical
DOSE-MISS,0.035 mg,,19,8132758125fa0e3156821052a383f9ef,aai,hausa,A,clinical
DOSE-MISS,0.035 mg,,19,8132758125fa0e3156821052a383f9ef,aai,hausa,A,clinical
DOSE-MISS,0.5 mg,,25,8132758125fa0e3156821052a383f9ef,aai,hausa,A,clinical
DOSE-MISS,0.75 mg,,27,8132758125fa0e3156821052a383f9ef,aai,hausa,A,clinical
DRUG-DEL,imatinib,,10,927f85be5b655d2292720b02da67a9f2,aai,pidgin,B,clinical
DRUG-SUB,ropinirole,propranolol,14,950669fd990036359a84fc27a609d98b,aai,hausa,A,clinical
DOSE-MISS,42 ml,,16,a118dd3124494bfe59ab23ed58e83735,aai,idah,C,clinical
DRUG-DEL,quetiapine,,0,a52cc1bdf941a9b4d76061ddbda05072,aai,igbo,A,clinical
DOSE-VAL,445 kg,4445 kg,7,aeffc6466b2f3e6a60d1a381c6688d62,aai,igbo,A,general
DRUG-DEL,cetirizine,,4,b89670db369c7e025fb0d74ca94533af,aai,hausa,A,clinical
DRUG-DEL,cetirizine,,4,b89670db369c7e025fb0d74ca94533af,aai,hausa,A,clinical
DRUG-DEL,senna,,0,cdad5949ae6301810466710c9fa591b7,aai,gbagyi,C,clinical
DRUG-DEL,lisdexamfetamine,,4,cf605b3aaadbd365452e997fbc78122d,aai,efik,C,clinical
DOSE-MISS,3.6 ml,,3,ee9c796e757ac3a2493c10bd9d7029c5,aai,yoruba,A,clinical
NEG-FLIP,not,,3,f42411fa2e88c397f558c7be352de659,aai,setswana,B,clinical
DRUG-DEL,calcitriol,,1,f5cb123d9ff58506553397ea7d69d50a,aai,etche,C,clinical
DOSE-UNIT,0.5 mcg,0.5 mg,2,f5cb123d9ff58506553397ea7d69d50a,aai,etche,C,clinical
NEG-FLIP,not,,1,f90956b98a371a04fb2d01be89fe11cf,aai,yoruba,A,clinical
DOSE-VAL,57 ml,27 ml,1,fb226674b17933ee5365ba61f4e6f578,aai,etche,C,clinical
DRUG-DEL,reglan,,0,00f29afe5b9419051ece6254c7671140,dg-general,ijaw,A,clinical
DRUG-DEL,ceftriaxone,,4,11caa8fa466d48bcc966b305b18a3141,dg-general,ogoni,C,clinical
DRUG-DEL,fentanyl,,5,18361ec4ecc20db368a75ee828e415cc,dg-general,jaba,C,clinical
DRUG-DEL,digoxin,,10,1a91bdf81acf149c03a3c48254cc5273,dg-general,luhya,B,clinical
DRUG-DEL,pimozide,,5,1ab41137caf537cf2d196c3914d95b48,dg-general,isizulu,B,clinical
DOSE-MISS,100 ml,,18,1dda8dca0b084c03fc5ea2a901de6043,dg-general,igbo,A,clinical
