provider,accent,clips,wer,wer_spoken_punct_removed,wer_spoken_punct_share,drug_mentions,drug_accuracy,drug_hyp_mentions,drug_false_positives,drug_precision,drug_f1,drug_substitutions,doses,dose_value_accuracy,dose_value_errors,dose_unit_errors,negation_cues,negation_preservation
aai,afemai,1,0.08,0.08695652173913043,-0.08695652173913038,0,,0,0,,,0,1,1.0,0,0,0,
aai,afo,3,0.05555555555555555,0.05555555555555555,0.0,1,1.0,1,0,1.0,1.0,0,0,,0,0,1,1.0
aai,afrikaans,2,0.2,0.2,0.0,0,,0,0,,,0,0,,0,0,2,1.0
aai,agatu,2,0.125,0.125,0.0,1,1.0,1,0,1.0,1.0,0,1,1.0,0,0,1,1.0
aai,akan,3,0.07130434782608695,0.07130434782608695,0.0,2,1.0,2,0,1.0,1.0,0,0,,0,0,2,1.0
aai,alago,1,0.09090909090909091,0.09090909090909091,0.0,0,,0,0,,,0,0,,0,0,1,1.0
aai,anaang,3,0.05128205128205129,0.05128205128205129,0.0,2,1.0,2,0,1.0,1.0,0,1,1.0,0,0,3,1.0
aai,angas,3,0.08641975308641975,0.10144927536231885,-0.173913043478261,0,,0,0,,,0,1,1.0,0,0,4,1.0
aai,bagi,2,0.02,0.02,0.0,1,1.0,1,0,1.0,1.0,0,2,1.0,0,0,0,
aai,bajju,3,0.0,0.0,,0,,0,0,,,0,2,1.0,0,0,1,1.0
aai,bassa,2,0.03125,0.03125,0.0,4,1.0,4,0,1.0,1.0,0,3,1.0,0,0,0,
aai,bekwarra,3,0.11276223776223776,0.11276223776223776,0.0,1,1.0,3,2,0.3333333333333333,0.5,0,0,,0,0,1,1.0
aai,benin,1,0.5,0.5,0.0,0,,0,0,,,0,0,,0,0,0,
aai,berom,3,0.022988505747126436,0.022988505747126436,0.0,1,1.0,1,0,1.0,1.0,0,2,1.0,0,0,1,1.0
aai,bini,3,0.07539682539682539,0.07539682539682539,0.0,1,1.0,1,0,1.0,1.0,0,2,1.0,0,0,0,
aai,brass,3,0.11188811188811189,0.11188811188811189,0.0,1,1.0,1,0,1.0,1.0,0,1,1.0,0,0,1,1.0
aai,delta,3,0.10375000000000001,0.10375000000000001,0.0,0,,0,0,,,0,1,1.0,0,0,2,1.0
aai,ebiobo,3,0.044808201058201054,0.044808201058201054,0.0,0,,0,0,,,0,0,,0,0,1,1.0
aai,ebira,9,0.11878360671464121,0.11878360671464121,0.0,3,1.0,3,0,1.0,1.0,0,7,1.0,0,0,2,1.0
aai,edo,1,0.03333333333333333,0.03333333333333333,0.0,0,,0,0,,,0,0,,0,0,2,1.0
aai,efik,2,0.2403846153846154,0.2403846153846154,0.0,4,0.5,3,1,0.6666666666666666,0.5714285714285715,2,4,1.0,0,0,0,
aai,eggon,3,0.12380952380952381,0.12380952380952381,0.0,0,,0,0,,,0,1,1.0,0,0,1,1.0
aai,ekene,3,0.08476190476190476,0.08476190476190476,0.0,4,1.0,4,0,1.0,1.0,0,2,1.0,0,0,0,
aai,eket,2,0.125,0.125,0.0,4,1.0,4,0,1.0,1.0,0,1,1.0,0,0,0,
aai,ekpeye,3,0.1111111111111111,0.1111111111111111,0.0,1,1.0,1,0,1.0,1.0,0,3,1.0,0,0,2,1.0
aai,eleme,2,0.12272727272727274,0.12272727272727274,0.0,2,1.0,2,0,1.0,1.0,0,2,1.0,0,0,0,
aai,english,3,0.1142078533382881,0.11558811558811559,-0.012085528354508992,0,,0,0,,,0,0,,0,0,3,1.0
aai,epie,3,0.20917678812415655,0.20917678812415655,0.0,3,1.0,3,0,1.0,1.0,0,2,1.0,0,0,1,1.0
aai,esan,6,0.008333333333333333,0.008333333333333333,0.0,0,,0,0,,,0,0,,0,0,0,
aai,estako,2,0.16666666666666666,0.16666666666666666,0.0,3,1.0,3,0,1.0,1.0,0,3,1.0,0,0,0,
