provider,domain,clips,wer,wer_spoken_punct_removed,wer_spoken_punct_share,drug_mentions,drug_accuracy,drug_hyp_mentions,drug_false_positives,drug_precision,drug_f1,drug_substitutions,doses,dose_value_accuracy,dose_value_errors,dose_unit_errors,negation_cues,negation_preservation
aai,clinical,320,0.10543396007994406,0.10543396007994406,0.0,162,0.9259259259259259,151,5,0.9668874172185431,0.9459634573020604,3,135,0.9259259259259259,2,2,106,0.9811320754716981
aai,general,80,0.07889444360901983,0.08008401400239457,-0.01507799965318135,13,1.0,15,2,0.8666666666666667,0.9285714285714286,0,12,0.9166666666666666,1,0,66,0.9848484848484849
dg-general,clinical,320,0.3360097821135831,0.2575870491941713,0.23339419592523106,162,0.7345679012345679,116,4,0.9655172413793104,0.834355828220859,2,135,0.837037037037037,3,2,106,0.9622641509433962
dg-general,general,80,0.34006815947341257,0.20504152701691405,0.3970575565368544,13,0.7692307692307693,9,0,1.0,0.8695652173913044,0,12,1.0,0,0,66,0.9545454545454546
dg-medical,clinical,320,0.32055463540302864,0.23910500463847448,0.2540896988188885,162,0.8209876543209876,135,7,0.9481481481481482,0.8799979323356852,2,135,0.8074074074074075,6,2,106,0.9528301886792453
dg-medical,general,80,0.33886192231821277,0.1853787671656863,0.45293715535378476,13,0.8461538461538461,10,0,1.0,0.9166666666666666,0,12,1.0,0,0,66,0.9848484848484849
gemini,clinical,320,0.33350601110918465,0.273042050262842,0.18129796415137983,162,0.7222222222222222,119,13,0.8907563025210085,0.7976845151953691,4,135,0.8222222222222222,7,1,106,0.9433962264150944
gemini,general,80,0.33091109696651655,0.21621340101489697,0.3466118150858668,13,0.7692307692307693,11,1,0.9090909090909091,0.8333333333333333,0,12,0.8333333333333334,1,0,66,0.9545454545454546
whisper,clinical,320,0.34111181042837097,0.2879204117811959,0.1559353766742257,162,0.6296296296296297,83,3,0.963855421686747,0.7616914029683562,2,135,0.8074074074074075,1,1,106,0.9056603773584906
whisper,general,80,0.32411297013106377,0.23632941649041134,0.2708424584340293,13,0.5384615384615384,6,0,1.0,0.7000000000000001,0,12,0.75,1,0,66,0.9545454545454546
