clip_id,provider,accent,tier,domain,duration,wer,drug_mentions,drug_correct,drug_substitution,drug_deletion,doses,dose_correct,dose_value_error,dose_unit_error,dose_missing,negation_cues,negation_preserved,negation_lost
00a8fbb3c1ab981f953251ab74953aa7,aai,igbo,A,clinical,3.160997732426304,0.25,0,0,0,0,1,1,0,0,0,0,0,0
00cb23d4474de886b096a4121ad06467,aai,igbo,A,clinical,15.79498866213152,0.041666666666666664,0,0,0,0,1,1,0,0,0,0,0,0
00f29afe5b9419051ece6254c7671140,aai,ijaw,A,clinical,4.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0
01cf1c65195a5bf6cfdea2270f27d30f,aai,isizulu,B,clinical,10.213990929705217,0.0,1,1,0,0,0,0,0,0,0,0,0,0
0316642537208a2c38571a0598277900,aai,izon,B,general,27.782993197278923,0.0,0,0,0,0,1,1,0,0,0,0,0,0
034edeacea0c26990023d688762888cb,aai,igarra,C,general,11.861,0.15,0,0,0,0,0,0,0,0,0,1,1,0
035836ee284849df9969d1dd62f025f6,aai,luganda,B,clinical,6.33498866213152,0.07142857142857142,0,0,0,0,0,0,0,0,0,0,0,0
04a041c8c7f0c63c42e21c23b4739a33,aai,luganda,B,clinical,3.351995464852608,0.16666666666666666,0,0,0,0,0,0,0,0,0,0,0,0
06e79ca6e3f2bc5a6aefbd7be5f1f8e4,aai,hausa,A,clinical,5.0,0.2,1,1,0,0,0,0,0,0,0,0,0,0
0700cda752bd76a9e0094aa81371a166,aai,etsako,C,clinical,4.398979591836736,0.0,2,2,0,0,1,1,0,0,0,0,0,0
0781b542e2bb0461fb14d4e1880ba8a7,aai,obolo,C,clinical,11.061995464852608,0.09090909090909091,1,1,0,0,0,0,0,0,0,0,0,0
08048da2f122e9696d96fe84b6c63d13,aai,esan,B,general,7.022993197278912,0.0,0,0,0,0,0,0,0,0,0,0,0,0
084115ff20f2b83589318b1d443d51d2,aai,igala,B,clinical,6.0,0.1111111111111111,0,0,0,0,0,0,0,0,0,0,0,0
